"","month","2024 prec (in)","2025 prec (in)","2024 avg temp (F)","2025 avg temp (F)","2024 avg wind speed (mph)","2025 avg wind speed (mph)"
"1","Jan",3.28,0.57,55.74,51.42,4.61,3.49
"2","Feb",11.01,3.25,56.05,55.33,5.54,4.72
"3","Mar",4.45,2.27,56.3,54.53,6.14,6.24
"4","Apr",1.02,0.36,56.87,56.34,5.9,5.53
"5","May",0.09,0,57.75,60.44,5.28,5.72
"6","Jun",0,0,62.33,61.75,4.97,6.14
"7","Jul",0,NA,63.16,NA,5.36,NA
"8","Aug",0,NA,65.38,NA,4.79,NA
"9","Sept",0,NA,64.61,NA,5.06,NA
"10","Oct",0,NA,61.93,NA,4.5,NA
"11","Nov",0.5,NA,55.56,NA,4.05,NA
"12","Dec",0.14,NA,53.12,NA,3.54,NA
