fid,Box Name,Lat,Long,Forest_meters1,Developed_meters_1,River_Distance,Box Code,Degrees from North,Orientation,Years with Nest Material,Species,Eggs,Chicks Hatched,Fledglings,Fledglings per Eggs Laid,TargetID,Distance
"1",box 1,"34.4579","-119.7673","630","90","483",A1,"150",SSE,"1",,"0",,,,box 2,"31"
"2",box 2,"34.45818","-119.7673","630","90","497",A2,"130",SE,"1",,"0",,,,box 3,"27"
"3",box 3,"34.45836","-119.7675","630","127","523",A3,"170",S,"0",,"0",,,,box 4,"22"
"4",box 4,"34.45854","-119.7674","630","127","525",A4,"140",SE,"0",,"0",,,,box 3,"22"
"5",box 5,"34.46297","-119.7704","703","180","381",B1,"190",S,"0",,"0",,,,box 6,"31"
"6",box 6,"34.4632","-119.7702","703","180","398",B2,"150",SSE,"2",,"0",,,,box 7,"18"
"7",box 7,"34.46334","-119.7701","576","285","407",B3,"140",SE,"2","Western Bluebird, Tree Swallow","9","3","3","0.33",box 6,"18"
"8",box 8,"34.46351","-119.7699","576","285","421",B4,"180",S,"2","Western Bluebird, Violet-Green Swallow","9","7","7","0.78",box 7,"26"
"9",box 9,"34.46065","-119.7641","324","525","212",C1,"170",S,"2",,"0",,,,box 10,"30"
"10",box 10,"34.46054","-119.7638","324","525","187",C2,"130",SE,"1",Tree Swallow,"4","4","4","1",box 9,"30"
"11",box 11,"34.46022","-119.7637","324","525","186",C3,"160",SSE,"2",Tree Swallow,"4","4","4","1",box 10,"37"
"12",box 12,"34.45986","-119.7634","285","450","174",C4,"140",SE,"0",,"0",,,,box 11,"49"
"13",box 13,"34.4634932","-119.7664499","402","450","416",D1,"100",E,"0",,"0",,,,box 14,"16"
"14",box 14,"34.4636364","-119.7664258","402","450","415",D2,"130",SE,"0",,"0",,,,box 15,"15"
"15",box 15,"34.4637577","-119.7663426","402","450","409",D3,"150",SSE,"1",,"0",,,,box 16,"15"
"16",box 16,"34.4638893","-119.7663272","402","450","409",D4,"140",SE,"1",,"0",,,,box 15,"15"
